probe set	gene
AFFX-DapX-M_at	 L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-DapX-3_at	 L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-LysX-5_at	 X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-LysX-M_at	 X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-LysX-3_at	 X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-PheX-5_at	 M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-PheX-M_at	 M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-PheX-3_at	 M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-ThrX-5_at	 X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-ThrX-M_at	 X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-ThrX-3_at	 X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-TrpnX-5_at	 K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-TrpnX-M_at	 K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-TrpnX-3_at	 K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-HUMISGF3A/M97935_5_at	signal transducer and activator of transcription 1, 91kD
AFFX-HUMISGF3A/M97935_MA_at	signal transducer and activator of transcription 1, 91kD
AFFX-HUMISGF3A/M97935_MB_at	signal transducer and activator of transcription 1, 91kD
AFFX-HUMISGF3A/M97935_3_at	signal transducer and activator of transcription 1, 91kD
AFFX-HUMRGE/M10098_5_at	 M10098 Human 18S rRNA gene, complete (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-HUMRGE/M10098_M_at	 M10098 Human 18S rRNA gene, complete (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-HUMRGE/M10098_3_at	 M10098 Human 18S rRNA gene, complete (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-HUMGAPDH/M33197_5_at	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_M_at	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_3_at	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HSAC07/X00351_5_at	actin, beta
AFFX-HSAC07/X00351_M_at	actin, beta
AFFX-HSAC07/X00351_3_at	actin, beta
AFFX-HUMTFRR/M11507_5_at	transferrin receptor (p90, CD71)
AFFX-HUMTFRR/M11507_M_at	transferrin receptor (p90, CD71)
AFFX-HUMTFRR/M11507_3_at	transferrin receptor (p90, CD71)
AFFX-M27830_5_at	 M27830 Human 28S ribosomal RNA gene, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-M27830_M_at	 M27830 Human 28S ribosomal RNA gene, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-M27830_3_at	 M27830 Human 28S ribosomal RNA gene, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-HSAC07/X00351_3_st	actin, beta
AFFX-HUMGAPDH/M33197_5_st	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_M_st	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_3_st	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HSAC07/X00351_5_st	actin, beta
AFFX-HSAC07/X00351_M_st	actin, beta
AFFX-YEL002c/WBP1_at	X61388 SGD: YEL002C Yeast S.cerevisiae WBP1 Oligosaccharyltransferase beta subunit
AFFX-YEL018w/_at	U18530 SGD:YEL018W Yeast S. cerevisiae Protein of unknown function
AFFX-YEL024w/RIP1_at	M23316 SGD:YEL024C Yeast S.cerevisiae RIP1 Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex .
AFFX-YEL021w/URA3_at	K02207 SGD:YEL021W Yeast S.cerevisiae URA3 gene coding for OMP decarboxylase
31307_at	pre-T/NK cell associated protein
31308_at	pre-T/NK cell associated protein
31309_r_at	 Cluster Incl U50277:Human breast cancer suppressor element Ishmael Upper CP1 mRNA, partial cds /cds=(0,95) /gb=U50277 /gi=1224126 /ug=Hs.121485 /len=132 
31310_at	glycine receptor, alpha 1 (startle disease/hyperekplexia, stiff man syndrome)
31311_at	 Cluster Incl X61070:Human mRNA for T cell receptor, clone IGRA15 /cds=(0,356) /gb=X61070 /gi=33508 /ug=Hs.121492 /len=425 
31312_at	potassium voltage-gated channel, Shab-related subfamily, member 2
31313_at	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
31314_at	bone morphogenetic protein 3 (osteogenic)
31315_at	 Cluster Incl D84143:Human immunoglobulin (mAb59) light chain V region mRNA, partial sequence /cds=(0,333) /gb=D84143 /gi=1255613 /ug=Hs.121508 /len=334 
31316_at	ATPase, H+ transporting, lysosomal (vacuolar proton pump), alpha polypeptide, 70kD, isoform 2
31317_r_at	 Cluster Incl M21388:Human unproductively rearranged Ig mu-chain mRNA V-region (VD), 5 end, clone mu-3A1A /cds=(0,89) /gb=M21388 /gi=185160 /ug=Hs.123017 /len=141'' 
31318_at	 Cluster Incl S80491:stem cell factor {alternatively spliced} [human, preimplantation embryos, blastocysts, mRNA Partial, 180 nt] /cds=(0,113) /gb=S80491 /gi=1246099 /ug=Hs.123028 /len=180 
31319_at	immunoglobulin kappa variable 2/OR22-4
31320_at	G protein-coupled receptor 12
31321_at	pancreatic beta cell growth factor
31322_at	 Cluster Incl X61079:Human mRNA for T cell receptor, clone IGRA24 /cds=(0,142) /gb=X61079 /gi=33521 /ug=Hs.123062 /len=235 
31323_r_at	 Cluster Incl S83374:glutamate transporter II variant B/HBGT IIB {5 region} [human, brain and spinal cord, mRNA Partial Mutant, 129 nt] /cds=(26,55) /gb=S83374 /gi=1911635 /ug=Hs.123079 /len=129'' 
31324_at	 Cluster Incl U82303:Homo sapiens unknown protein mRNA, partial cds /cds=(0,257) /gb=U82303 /gi=1938329 /ug=Hs.123080 /len=344 
31325_at	 Cluster Incl U82306:Homo sapiens unknown protein mRNA, partial cds /cds=(0,221) /gb=U82306 /gi=1938333 /ug=Hs.123081 /len=253 
31326_at	 Cluster Incl AF005081:Homo sapiens skin-specific protein (xp32) mRNA, partial cds /cds=(0,340) /gb=AF005081 /gi=2589189 /ug=Hs.123091 /len=416 
31327_at	 Cluster Incl AF015124:Homo sapiens IgG heavy chain variable region (Vh26) mRNA, partial cds /cds=(0,305) /gb=AF015124 /gi=2599349 /ug=Hs.123093 /len=340 
31328_at	solute carrier family 34 (sodium phosphate), member 1
31329_at	putative opioid receptor, neuromedin K (neurokinin B) receptor-like
31330_at	ribosomal protein S19
31331_at	surfactant protein A binding protein
31332_at	RIG-like 14-1
31333_at	tolloid-like 1
31334_at	G protein-coupled receptor 45
31335_at	clone 1900 unknown protein
31336_at	 Cluster Incl AC004076:Homo sapiens chromosome 19, cosmid R30217 /cds=(0,2075) /gb=AC004076 /gi=2822142 /ug=Hs.129709 /len=2076 
31337_at	gonadotropin-releasing hormone 2
31338_at	putative mitochondrial space protein 32.1
31339_at	R3H domain (binds single-stranded nucleic acids) containing
31340_at	matrix metalloproteinase 20 (enamelysin)
31341_at	potassium voltage-gated channel, Shaw-related subfamily, member 3
31342_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
31343_at	interleukin 1 receptor antagonist
31344_at	 Cluster Incl AF063725:Homo sapiens clone BCSynL38 immunoglobulin lambda light chain variable region mRNA, partial cds /cds=(0,116) /gb=AF063725 /gi=3142513 /ug=Hs.131961 /len=333 
31345_at	airway trypsin-like protease
31346_at	double homeobox, 1
31347_at	 Cluster Incl AF058075:Homo sapiens clone ASPBLL54 immunoglobulin lambda light chain VJ region mRNA, partial cds /cds=(0,143) /gb=AF058075 /gi=3093897 /ug=Hs.132733 /len=325 
31348_at	MHC binding factor, beta
31349_at	DNA-binding protein amplifying expression of surfactant protein B
31350_at	olfactory receptor, family 10, subfamily H, member 3
31351_at	Cluster Incl X63966:H.sapiens synthetic gene for platelet-derived growth factor-BB /cds=(13,498) /gb=X63966 /gi=311378 /ug=Hs.135631 /len=514 
31352_at	Cluster Incl S79281:pancreatic ribonuclease [human, mRNA Recombinant Partial, 491 nt] /cds=(19,480) /gb=S79281 /gi=1087118 /ug=Hs.135633 /len=491 
31353_f_at	forkhead box E2
31354_r_at	forkhead box E2
31355_at	achaete-scute complex (Drosophila) homolog-like 2
31356_at	Cluster Incl W27600:35a12 Homo sapiens cDNA /gb=W27600 /gi=1307548 /ug=Hs.136087 /len=732
31357_at	Cluster Incl W26214:22d11 Homo sapiens cDNA /gb=W26214 /gi=1306625 /ug=Hs.136088 /len=697
31358_at	Cluster Incl W26228:22e5 Homo sapiens cDNA /gb=W26228 /gi=1306639 /ug=Hs.136090 /len=711
31359_at	Cluster Incl W27130:22g9 Homo sapiens cDNA /gb=W27130 /gi=1306664 /ug=Hs.136092 /len=736
31360_at	Cluster Incl W26343:26b9 Homo sapiens cDNA /gb=W26343 /gi=1306898 /ug=Hs.136098 /len=715
31361_at	Cluster Incl W27556:32e11 Homo sapiens cDNA /gb=W27556 /gi=1307360 /ug=Hs.136127 /len=763
31362_at	Cluster Incl W26626:34a12 Homo sapiens cDNA /gb=W26626 /gi=1307469 /ug=Hs.136137 /len=890
31363_at	Cluster Incl W27607:35b12 Homo sapiens cDNA /gb=W27607 /gi=1307555 /ug=Hs.136140 /len=693
31364_i_at	Cluster Incl W27762:37c6 Homo sapiens cDNA /gb=W27762 /gi=1307710 /ug=Hs.136145 /len=743
31365_f_at	Cluster Incl W27762:37c6 Homo sapiens cDNA /gb=W27762 /gi=1307710 /ug=Hs.136145 /len=743
31366_at	Cluster Incl W27871:39a1 Homo sapiens cDNA /gb=W27871 /gi=1307819 /ug=Hs.136146 /len=860
31367_at	Cluster Incl W27895:39c11 Homo sapiens cDNA /gb=W27895 /gi=1307843 /ug=Hs.136147 /len=843
31368_at	Cluster Incl W27967:40b10 Homo sapiens cDNA /gb=W27967 /gi=1307915 /ug=Hs.136154 /len=755
31369_at	Cluster Incl W28184:43c10 Homo sapiens cDNA /gb=W28184 /gi=1308132 /ug=Hs.136165 /len=954
31370_at	Cluster Incl W28191:43d1 Homo sapiens cDNA /gb=W28191 /gi=1308139 /ug=Hs.136166 /len=954
31371_at	Cluster Incl W28197:43d7 Homo sapiens cDNA /gb=W28197 /gi=1308145 /ug=Hs.136168 /len=886
31372_at	Cluster Incl W28203:43g3 Homo sapiens cDNA /gb=W28203 /gi=1308169 /ug=Hs.136169 /len=818
31373_at	Cluster Incl W28249:44b2 Homo sapiens cDNA /gb=W28249 /gi=1308197 /ug=Hs.136171 /len=896
31374_at	Cluster Incl W28268:44d12 Homo sapiens cDNA /gb=W28268 /gi=1308216 /ug=Hs.136173 /len=836
31375_at	Cluster Incl W28546:48c8 Homo sapiens cDNA /gb=W28546 /gi=1308494 /ug=Hs.136177 /len=927
31376_at	Cluster Incl W28918:54a1 Homo sapiens cDNA /gb=W28918 /gi=1308884 /ug=Hs.136180 /len=821
31377_r_at	Cluster Incl W26469:32f4 Homo sapiens cDNA /gb=W26469 /gi=1307375 /ug=Hs.136639 /len=754
31378_at	paired-like homeodomain transcription factor 3
31379_at	 Cluster Incl AF072164:Homo sapiens HSFE-1 mRNA, partial cds /cds=(763,1236) /gb=AF072164 /gi=3265149 /ug=Hs.137570 /len=2905 
31380_at	ER to nucleus signalling 1
31381_at	peptidoglycan recognition protein
31382_f_at	UDP glycosyltransferase 2 family, polypeptide B11
31383_at	caspase 13, apoptosis-related cysteine protease
31384_at	Cluster Incl W28702:50g10 Homo sapiens cDNA /gb=W28702 /gi=1308668 /ug=Hs.139040 /len=805
31385_at	ribosomal protein L28
31386_at	immunoglobulin kappa variable 1/OR15-118
31387_at	double homeobox, 2
31388_at	early lymphoid activation protein
31389_at	oxidative stress induced like
31390_at	zinc finger protein 154 (pHZ-92)
31391_at	huntingtin-associated protein 1 (neuroan 1)
31392_r_at	chromosome 1 open reading frame 1
31393_r_at	undifferentiated embryonic cell transcription factor 1
31394_at	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 2
31395_i_at	Musashi (Drosophila) homolog 1
31396_r_at	Musashi (Drosophila) homolog 1
31397_at	 Cluster Incl AL022151:Human DNA sequence from clone 199L16 on chromosome Xq22.1-22.3. Contains a 40S Ribosomal Protein S29 LIKE (pseudo?) gene, an EST, STSs, GSSs and tcta and tatg repeat polymorphisms /cds=(58,210) /gb=AL022151 /gi=3790137 /ug=Hs.158312 
31398_at	ATP-binding cassette, sub-family B (MDR/TAP), member 11
31399_at	bone morphogenetic protein 10
31400_at	diacylglycerol kinase, beta (90kD)
31401_r_at	KIAA0789 gene product
31402_at	minor histocompatibility antigen HB-1
31403_at	solute carrier family 18 (vesicular monoamine), member 1
31404_at	Cluster Incl AF019765:untitled /cds=(0,428) /gb=AF019765 /gi=3955190 /ug=Hs.158325 /len=623 
31405_at	melatonin receptor 1B
31406_at	G protein-coupled receptor 50
31407_at	protease, serine, 7 (enterokinase)
31408_at	retinal pigment epithelium-derived rhodopsin homolog
31409_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 10
31410_at	transmembrane activator and CAML interactor
31411_at	Testis-specific basic protein on Y, 2
31412_at	Testis-specific PTP-BL-related protein on Y
31413_at	testis-specific testis transcript Y 1
31414_at	testis-specific testis transcript Y 2
31415_at	Testis-specific XK-related protein on Y
31416_at	S2P protein
31417_at	hypocretin (orexin) neuropeptide precursor
31418_at	high-mobility group (nonhistone chromosomal) protein 17-like 1
31419_r_at	 Cluster Incl AF023203:Homo sapiens homeobox protein Og12 (OGL12) mRNA, partial cds /cds=(0,28) /gb=AF023203 /gi=2979681 /ug=Hs.158350 /len=412 
31420_at	 Cluster Incl AL008721:Homo sapiens DNA sequence from BAC 390C10 on chromosome 22q11.21-12.1. Contains an Immunoglobulin LIKE gene and a pseudogene similar to Beta Crystallin. Contains ESTs, STSs, GSSs and taga and tat repeat polymorphisms /cds=(0,332) /gb 
31421_at	 Cluster Incl X52005:H.sapiens skeletal embryonic myosin light chain 1 (MLC1) mRNA /cds=(82,675) /gb=X52005 /gi=34677 /ug=Hs.159218 /len=1005 
31422_at	keratin, hair, acidic, 7
31423_at	 Cluster Incl AL021306:Human DNA sequence from clone 1109B5 on chromosome 22 /cds=(0,569) /gb=AL021306 /gi=2808416 /ug=Hs.159896 /len=570 
31424_at	olfactory receptor, family 2, subfamily F, member 1
31425_g_at	olfactory receptor, family 2, subfamily F, member 1
31426_at	G protein-coupled receptor 15
31427_at	 Cluster Incl U43604:Human unidentified mRNA, partial sequence /cds=UNKNOWN /gb=U43604 /gi=1171236 /ug=Hs.159901 /len=1677 
31428_at	olfactory receptor, family 5, subfamily I, member 1
31429_at	T cell receptor alpha variable 13-1
31430_at	T cell receptor alpha variable 13-1
31431_at	Fc fragment of IgG, receptor, transporter, alpha
31432_g_at	Fc fragment of IgG, receptor, transporter, alpha
31433_at	 Cluster Incl AL022727:Human DNA sequence from clone 80I19 on chromosome 6p21.31-22.2 Contains genes and pseudogenes for olfactory receptor-like proteins, STS, GSS /cds=(0,938) /gb=AL022727 /gi=3093312 /ug=Hs.163518 /len=939 
31434_at	 Cluster Incl AF086790:Homo sapiens aconitase precursor (ACON) mRNA, nuclear gene encoding mitochondrial protein, partial cds /cds=(0,1803) /gb=AF086790 /gi=3600097 /ug=Hs.166002 /len=2196 
31435_at	a disintegrin and metalloproteinase domain 7
31436_s_at	 Cluster Incl AF061055:Homo sapiens estrogen receptor beta 5 splice variant mRNA, partial cds /cds=(0,194) /gb=AF061055 /gi=3094026 /ug=Hs.166006 /len=372 
31437_r_at	 Cluster Incl AF061055:Homo sapiens estrogen receptor beta 5 splice variant mRNA, partial cds /cds=(0,194) /gb=AF061055 /gi=3094026 /ug=Hs.166006 /len=372 
31438_s_at	CD163 antigen
31439_f_at	Rhesus blood group, CcEe antigens
31440_at	transcription factor 7 (T-cell specific, HMG-box)
31441_at	 Cluster Incl X55989:Human ECRP gene for eosinophil cationic related protein /cds=(71,551) /gb=X55989 /gi=22940 /ug=Hs.166037 /len=733 
31442_at	 Cluster Incl Z21818:H.sapiens carcinoembryonic antigen gene /cds=(110,244) /gb=Z21818 /gi=437783 /ug=Hs.166040 /len=595 
31443_at	 Cluster Incl S76346:AML1=AML1 {alternatively spliced, exons 5 and b} [human, mRNA Partial, 284 nt] /cds=(0,159) /gb=S76346 /gi=913288 /ug=Hs.166060 /len=284 
31444_s_at	annexin A2 pseudogene 2
31445_at	SHC (Src homology 2 domain-containing) transforming protein 1 pseudogene 1
31446_s_at	protein homologous to salivary proline-rich protein P-B
31447_at	 Cluster Incl U63542:Human putative FAP protein mRNA, partial cds /cds=(0,758) /gb=U63542 /gi=1890646 /ug=Hs.166101 /len=913 
31448_s_at	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2
31449_at	 Cluster Incl AF009787:Homo sapiens T cell receptor beta chain (TCRB) mRNA, partial cds /cds=(0,80) /gb=AF009787 /gi=2275604 /ug=Hs.166129 /len=189 
31450_s_at	Ric (Drosophila)-like, expressed in neurons
31451_at	Rho GTPase activating protein 1
31452_at	survival motor neuron pseudogene
31453_s_at	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1
31454_f_at	RIG-like 5-6
31455_r_at	RIG-like 5-6
31456_at	 Cluster Incl AL008627:Human DNA sequence from PAC 130G2 on chromosome 6p22.2-22.3. Contains ribosomal protein L29 pseudogene, ESTs and STSs /cds=(43,528) /gb=AL008627 /gi=2769539 /ug=Hs.166181 /len=648 
31457_at	forkhead box D2
31458_at	cytokeratin 2
31459_i_at	 Cluster Incl AF043586:Homo sapiens clone CPRF1-T2 immunoglobulin lambda chain VJ region, (IGL) mRNA, partial cds /cds=(0,273) /gb=AF043586 /gi=2865483 /ug=Hs.166191 /len=306 
31460_f_at	 Cluster Incl AF043586:Homo sapiens clone CPRF1-T2 immunoglobulin lambda chain VJ region, (IGL) mRNA, partial cds /cds=(0,273) /gb=AF043586 /gi=2865483 /ug=Hs.166191 /len=306 
31461_at	putative peroxisome microbody protein 175.1
31462_f_at	synovial sarcoma, X breakpoint 5
31463_s_at	 Cluster Incl AL022097:Homo sapiens DNA sequence from PAC 256G22 on chromosome 6p24.1-25.3. Contains a HNRNP Core Protein A1 LIKE pseudogene and an exon with similarity to yeast and fly phenylalanyl tRNA synthetase PHERS. Contains ESTs and GSSs /cds=(63,10 
31464_at	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)
31465_g_at	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)
31466_at	 Cluster Incl U33547:Homo sapiens MHC class II antigen HLA-DRB6 mRNA, partial cds /cds=(0,106) /gb=U33547 /gi=3320135 /ug=Hs.167385 /len=720 
31467_at	major histocompatibility complex, class II, DN alpha
31468_f_at	Cluster Incl W26104:22f6 Homo sapiens cDNA /gb=W26104 /gi=1306650 /ug=Hs.167981 /len=702
31469_s_at	Cluster Incl W27234:24b9 Homo sapiens cDNA /gb=W27234 /gi=1306750 /ug=Hs.167982 /len=679
31470_at	Cluster Incl W27604:35b1 Homo sapiens cDNA /gb=W27604 /gi=1307552 /ug=Hs.167991 /len=682
31471_at	 Cluster Incl AL031393:Human DNA sequence from clone 733D15 on chromosome Xp11.3. Contains a Zinc-finger (pseudo?) gene and GSSs /cds=(0,1492) /gb=AL031393 /gi=3646112 /ug=Hs.169190 /len=1493 
31472_s_at	 Cluster Incl AF098641:Homo sapiens CD44 isoform RC (CD44) mRNA, complete cds /cds=(18,437) /gb=AF098641 /gi=3832517 /ug=Hs.169200 /len=484 
31473_s_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
31474_r_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
31475_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
31476_g_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
31477_at	trefoil factor 3 (intestinal)
31478_at	pancreatic elastase IIB
31479_f_at	dihydrofolate reductase pseudogene 1
31480_f_at	melanoma antigen, family A, 12
31481_s_at	thymosin, beta 10
31482_at	carboxyl ester lipase-like (bile salt-stimulated lipase-like)
31483_g_at	carboxyl ester lipase-like (bile salt-stimulated lipase-like)
31484_at	 Cluster Incl X72882:H.sapiens 14A6CK DNA sequence /cds=(0,131) /gb=X72882 /gi=667005 /ug=Hs.169275 /len=132 
31485_at	 Cluster Incl M57423:Homo sapiens phosphoribosylpyrophosphate synthetase subunit III mRNA, 3 end /cds=(81,1037) /gb=M57423 /gi=190521 /ug=Hs.169284 /len=1091'' 
31486_s_at	 Cluster Incl Z70218:H.sapiens mRNA for MN1 protein (clone ICRFp507I0498) /cds=(0,50) /gb=Z70218 /gi=1235523 /ug=Hs.169287 /len=341 
31487_at	 Cluster Incl L17328:Human pre-T/NK cell associated protein (3Cl) mRNA, complete cds /cds=(1296,1451) /gb=L17328 /gi=306331 /ug=Hs.169304 /len=1911 
31488_s_at	 Cluster Incl S81916:phosphoglycerate kinase {alternatively spliced} [human, phosphoglycerate kinase deficient patient with episodes of muscl, mRNA Partial Mutant, 307 nt] /cds=(0,143) /gb=S81916 /gi=1470308 /ug=Hs.169313 /len=307 
31489_at	 Cluster Incl U63332:Human super cysteine rich protein mRNA, partial cds /cds=(0,141) /gb=U63332 /gi=1480862 /ug=Hs.169325 /len=427 
31490_at	sodium channel, voltage-gated, type V, alpha polypeptide (long (electrocardiographic) QT syndrome 3)
31491_s_at	caspase 8, apoptosis-related cysteine protease
31492_at	muscle specific gene
31493_s_at	chorionic somatomammotropin hormone 1 (placental lactogen)
31494_at	 Cluster Incl D25272:Homo sapiens mRNA, clone-RES4-16 /cds=UNKNOWN /gb=D25272 /gi=464187 /ug=Hs.174225 /len=1567 
31495_at	small inducible cytokine subfamily C, member 2
31496_g_at	small inducible cytokine subfamily C, member 2
31497_at	G antigen 1
31498_f_at	G antigen 6
31499_s_at	Fc fragment of IgG, low affinity IIIb, receptor for (CD16)
31500_at	Cluster Incl W26594:33g6 Homo sapiens cDNA /gb=W26594 /gi=1307455 /ug=Hs.177484 /len=670
31501_at	Cluster Incl W27645:37d5 Homo sapiens cDNA /gb=W27645 /gi=1307719 /ug=Hs.177488 /len=742
31502_at	Cluster Incl W27953:39h7 Homo sapiens cDNA /gb=W27953 /gi=1307901 /ug=Hs.177489 /len=758
31503_at	Cluster Incl W28732:50h7 Homo sapiens cDNA /gb=W28732 /gi=1308680 /ug=Hs.177496 /len=818
31504_at	high density lipoprotein binding protein (vigilin)
31505_at	ribosomal protein L8
31506_s_at	defensin, alpha 3, neutrophil-specific
31507_at	trinucleotide repeat containing 21
31508_at	upregulated by 1,25-dihydroxyvitamin D-3
31509_at	ribosomal protein L13
31510_s_at	H3 histone, family 3B (H3.3B)
31511_at	ribosomal protein S9
31512_at	immunoglobulin kappa variable 1-13
31513_at	transcription factor similar to D. melanogaster homeodomain protein lady bird late
31514_at	docking protein 2, 56kD
31515_at	leucine-rich neuronal protein
31516_f_at	basic transcription factor 3, like 1
